id,age,gender,course,year,parent_education,weather,study_hours,sleep_hours,travel_time_minutes,attendance,absence_reason
148,23,female,bca,1st year,high school,rainy,5.67,6.17,33,1,none
149,17,male,b.sc,2nd year,high school,cold,2.12,9.65,13,0,festival
152,24,male,b.com,4th year,high school,cloudy,1.09,8.07,80,0,project work
153,19,female,b.com,1st year,no formal,cloudy,1.21,8.42,32,0,project work
154,20,female,bba,2nd year,high school,cloudy,1.67,7.43,25,1,none
155,22,male,bca,4th year,graduate,rainy,0.69,9.45,28,0,festival
156,18,male,bca,1st year,post graduate,cloudy,3.86,6.05,16,1,none
158,21,female,diploma,2nd year,post graduate,rainy,3.73,8.57,20,0,none
160,24,female,ba,1st year,high school,sunny,2.55,4.81,27,0,project work
161,22,female,diploma,2nd year,graduate,cloudy,1.7,4.28,32,1,none
163,20,male,bca,1st year,graduate,cold,3.76,5.11,10,0,project work
164,20,female,b.sc,3rd year,no formal,rainy,0.11,6.89,80,1,none
165,23,male,diploma,4th year,high school,cloudy,0.73,7.32,77,1,none
166,19,male,b.tech,3rd year,graduate,sunny,4.7,7.53,76,1,none
168,19,male,b.sc,1st year,graduate,rainy,4.16,8.34,70,1,none
169,17,female,pharmacy,2nd year,high school,sunny,1.5,6.54,35,0,no reason
170,17,female,ba,3rd year,graduate,hot,2.66,8.97,15,1,none
172,23,female,nursing,3rd year,no formal,rainy,3.66,6.68,39,1,none
177,18,male,ba,1st year,no formal,cold,0.43,6.46,26,1,none
178,24,male,nursing,3rd year,post graduate,sunny,2.87,9.3,31,1,none
179,21,female,ba,3rd year,high school,hot,4.17,4.1,54,1,none
180,24,female,b.com,1st year,high school,rainy,2.29,6.61,80,0,travel
183,22,male,diploma,3rd year,high school,cloudy,5.64,4.23,69,0,travel
184,20,male,ba,1st year,post graduate,rainy,5.36,4.19,37,0,festival
185,20,male,bba,1st year,phd,cold,3.15,7.86,46,0,no reason
186,18,female,b.tech,1st year,no formal,rainy,5.42,5.58,29,0,project work
187,20,female,b.tech,2nd year,no formal,rainy,2.95,8.45,77,0,festival
188,18,male,b.tech,1st year,post graduate,cloudy,4.79,6.23,55,0,sick
190,22,male,ba,4th year,high school,sunny,4.96,7.67,47,1,none
191,22,female,b.tech,4th year,phd,hot,4.22,6.34,21,0,project work
193,19,male,nursing,2nd year,post graduate,rainy,1.86,6.19,87,0,project work
197,17,male,b.sc,1st year,high school,cloudy,5.13,4.2,23,1,none
198,19,female,b.tech,2nd year,post graduate,cold,3.46,6.57,55,1,none
199,24,male,ba,3rd year,phd,sunny,5.38,8.72,70,1,none
200,19,female,b.com,4th year,phd,sunny,5.65,8.55,14,1,none
204,20,female,b.com,4th year,graduate,rainy,5.58,7.95,7,1,none
209,23,female,diploma,4th year,no formal,rainy,2.84,5.52,44,0,project work
210,19,male,b.tech,2nd year,post graduate,cloudy,5.14,6.61,15,1,none
211,22,male,bca,2nd year,no formal,cloudy,0.11,9.09,72,0,personal work
213,20,male,bba,1st year,graduate,hot,5.88,5.8,40,1,none
214,22,male,bca,3rd year,no formal,sunny,0.8,8.12,56,1,none
216,17,female,bca,1st year,no formal,hot,0.6,9.49,37,1,none
218,20,male,nursing,1st year,no formal,rainy,4.41,8.31,82,0,festival
219,24,female,b.tech,4th year,post graduate,cold,5.18,7.15,40,1,none
220,18,female,nursing,3rd year,high school,cold,5.24,8.32,73,0,project work
221,20,female,pharmacy,2nd year,post graduate,cold,4.71,5.5,60,1,none
222,22,female,pharmacy,2nd year,graduate,cloudy,5.15,7.5,10,1,none
223,18,male,ba,4th year,post graduate,hot,2.8,5.79,77,0,festival
225,19,male,ba,1st year,graduate,rainy,4.74,5.93,60,0,no reason
226,23,female,nursing,3rd year,post graduate,sunny,3.49,9.45,61,1,none
228,21,female,b.com,3rd year,high school,rainy,1.64,5.92,61,1,none
229,18,male,diploma,2nd year,high school,cloudy,2.97,8.58,84,0,project work
230,20,male,b.tech,2nd year,post graduate,cold,4.14,8.61,44,1,none
231,23,female,ba,1st year,phd,hot,0.49,5.23,14,0,personal work
232,17,female,b.sc,4th year,no formal,rainy,2.11,6.44,43,1,none
234,20,male,bba,2nd year,no formal,cold,0.84,6.72,75,1,none
235,22,female,b.tech,1st year,post graduate,cloudy,2.68,7.68,57,1,none
236,22,male,nursing,1st year,graduate,cloudy,4.48,8.24,64,1,none
237,20,female,ba,1st year,graduate,rainy,5.93,4.47,61,0,none
238,19,female,ba,2nd year,high school,rainy,4.92,4.66,86,0,no reason
239,22,male,b.sc,4th year,graduate,hot,5.11,9.18,48,1,none
240,18,male,pharmacy,1st year,post graduate,sunny,2.23,7.66,86,1,none
241,21,male,nursing,4th year,graduate,cloudy,4.84,5.1,78,1,none
242,17,female,bba,3rd year,high school,sunny,4.02,8.72,86,1,none
243,22,male,ba,4th year,no formal,hot,1.98,8.28,57,1,none
244,22,male,bba,3rd year,high school,cold,2.38,5.5,11,1,none
245,17,male,pharmacy,4th year,post graduate,cloudy,4.76,7.79,85,1,none
246,23,male,b.sc,3rd year,no formal,cloudy,1.25,9.84,28,1,none
247,20,male,diploma,4th year,high school,hot,4.42,8.21,28,0,no reason
248,23,female,pharmacy,1st year,high school,cloudy,3.13,4.32,23,0,no reason
249,17,male,diploma,4th year,graduate,cloudy,1.02,8.84,81,1,none
250,18,male,nursing,1st year,phd,hot,2.51,7.7,25,1,none
251,20,male,pharmacy,1st year,phd,sunny,3.81,6.84,14,1,none
252,18,male,b.tech,3rd year,high school,sunny,3.22,6.55,31,1,none
253,19,male,b.com,2nd year,graduate,rainy,0.05,9.63,87,1,none
254,22,male,b.sc,1st year,phd,cloudy,4.92,6.6,70,1,none
257,17,male,b.tech,2nd year,no formal,hot,3.55,5.89,22,0,none
258,18,male,bca,2nd year,high school,cold,3.94,4.28,19,1,none
259,21,female,b.tech,3rd year,high school,hot,1.29,6.29,46,0,travel
263,24,male,diploma,2nd year,phd,rainy,5.18,8.14,65,1,none
264,24,female,bca,1st year,no formal,sunny,0.53,5.32,8,0,project work
265,21,female,nursing,2nd year,post graduate,cold,5.62,8.91,67,1,none
266,20,female,b.sc,2nd year,phd,hot,0.97,9.94,47,0,personal work
268,21,male,diploma,4th year,graduate,cold,1.91,8.36,77,1,none
269,21,female,diploma,3rd year,graduate,sunny,0.87,8.85,26,1,none
270,19,male,b.tech,4th year,post graduate,rainy,2.26,7.32,74,0,travel
271,17,male,b.com,2nd year,high school,cloudy,2.27,7.04,14,1,none
272,18,male,b.com,2nd year,graduate,sunny,5.83,4.86,50,0,none
274,20,female,bca,1st year,high school,rainy,1.77,5.49,54,0,none
277,23,female,bca,2nd year,no formal,cold,5.7,5.3,44,1,none
279,17,male,bba,3rd year,post graduate,cold,5.87,9.47,52,0,personal work
281,20,male,b.com,2nd year,phd,rainy,2.75,9.38,70,1,none
282,22,female,bca,2nd year,no formal,hot,4.58,6.46,20,0,festival
285,24,male,bca,2nd year,post graduate,cold,5.15,8.02,71,0,sick
287,21,male,nursing,4th year,graduate,sunny,5.31,7.36,35,1,none
289,20,female,b.tech,4th year,no formal,sunny,2.73,8.74,84,1,none
290,23,male,nursing,1st year,phd,cloudy,5.6,7.61,67,1,none
293,19,male,bca,4th year,graduate,sunny,2.31,7.77,61,1,none
294,21,male,nursing,3rd year,high school,rainy,0.97,5.9,86,0,personal work
295,21,male,bba,3rd year,post graduate,cloudy,3.89,8.31,89,1,none
296,23,female,bca,1st year,post graduate,hot,2.51,9.53,46,1,none
297,20,female,b.tech,3rd year,graduate,sunny,3.12,5.19,82,1,none
300,19,male,b.sc,2nd year,high school,sunny,2.25,6.63,77,1,none
301,23,female,bba,1st year,no formal,cloudy,3.28,8.54,33,1,none
304,21,male,b.com,1st year,post graduate,hot,1.85,8.32,42,1,none
305,18,male,nursing,1st year,high school,cloudy,1.59,9.3,52,0,travel
306,19,male,diploma,2nd year,phd,hot,3.63,4.13,26,1,none
307,21,female,nursing,3rd year,post graduate,cloudy,5.09,6.75,46,0,festival
308,19,female,nursing,3rd year,graduate,hot,0.54,7.4,23,1,none
309,17,female,diploma,1st year,high school,sunny,2.28,4.06,45,0,none
310,22,male,b.sc,2nd year,phd,cold,1.67,9.59,62,1,none
311,22,female,nursing,3rd year,post graduate,cloudy,3.65,8.14,57,1,none
312,17,male,nursing,1st year,phd,cloudy,4.72,6.89,26,1,none
313,19,female,b.sc,1st year,high school,cloudy,3.94,9.75,40,1,none
314,18,male,b.tech,1st year,graduate,hot,1.29,8.6,57,1,none
316,22,female,ba,1st year,graduate,cold,4.6,8.42,61,1,none
317,22,male,b.com,3rd year,graduate,hot,2.21,8.47,21,1,none
320,19,male,ba,3rd year,phd,cloudy,1.91,4.57,48,1,none
321,17,male,ba,2nd year,phd,cold,3.93,6.88,72,1,none
322,21,male,ba,4th year,no formal,rainy,3.36,8.22,24,1,none
323,24,female,b.tech,4th year,phd,hot,5.92,8.38,38,1,none
324,24,female,b.tech,2nd year,no formal,hot,2.45,6.0,42,0,travel
325,18,female,ba,1st year,graduate,cold,4.79,9.69,54,1,none
326,18,female,b.tech,2nd year,phd,cloudy,5.93,9.32,54,1,none
327,17,female,diploma,2nd year,post graduate,hot,2.51,6.71,44,0,personal work
328,18,male,ba,3rd year,phd,cold,0.73,4.39,37,0,no reason
329,21,male,bba,1st year,graduate,cold,5.84,9.57,37,1,none
334,20,female,bba,3rd year,high school,cloudy,0.19,5.23,81,0,project work
338,18,male,bba,4th year,graduate,cold,0.26,7.13,25,0,none
339,24,male,ba,3rd year,no formal,rainy,0.05,9.88,27,1,none
340,22,female,bca,4th year,post graduate,cold,0.36,9.35,7,1,none
341,19,female,diploma,1st year,high school,rainy,3.19,4.77,77,0,travel
343,21,male,pharmacy,4th year,no formal,cold,2.45,6.66,58,0,travel
347,24,male,ba,2nd year,graduate,cold,4.33,6.43,36,1,none
348,18,male,diploma,3rd year,phd,cloudy,2.98,6.26,20,1,none
349,18,male,bba,2nd year,high school,sunny,5.44,9.15,47,1,none
352,19,female,pharmacy,2nd year,no formal,cold,1.43,9.61,69,0,sick
353,20,male,diploma,4th year,phd,sunny,5.23,7.89,33,0,no reason
354,24,female,diploma,2nd year,phd,sunny,5.2,4.1,82,1,none
356,18,female,b.com,3rd year,no formal,cloudy,3.57,9.39,18,1,none
357,24,male,b.com,1st year,post graduate,sunny,5.23,9.55,28,1,none
358,17,female,ba,3rd year,post graduate,hot,4.74,6.05,77,0,sick
359,22,female,diploma,1st year,post graduate,sunny,2.02,4.23,29,1,none
360,23,female,ba,4th year,graduate,cloudy,2.35,7.13,32,0,none
362,18,male,nursing,2nd year,high school,rainy,4.97,9.24,60,1,none
363,24,female,diploma,2nd year,high school,hot,1.81,4.26,46,0,festival
365,21,male,nursing,3rd year,phd,rainy,5.4,4.89,5,0,no reason
366,20,male,nursing,3rd year,high school,cold,4.14,9.86,27,1,none
367,19,male,pharmacy,4th year,high school,hot,1.73,6.55,79,0,no reason
368,17,female,b.com,4th year,graduate,rainy,2.24,5.52,64,1,none
369,23,male,b.sc,2nd year,no formal,sunny,5.29,8.74,17,0,sick
371,22,male,nursing,2nd year,no formal,sunny,3.39,9.94,43,1,none
373,19,female,b.tech,1st year,phd,sunny,3.35,5.36,65,0,project work
375,17,female,bba,2nd year,no formal,sunny,2.92,9.43,43,0,no reason
376,22,female,nursing,3rd year,graduate,rainy,1.4,5.7,42,0,project work
377,22,male,diploma,3rd year,graduate,hot,4.33,7.61,10,1,none
378,20,female,b.tech,2nd year,graduate,sunny,4.21,6.33,24,1,none
379,19,male,bba,4th year,post graduate,cloudy,0.44,4.63,34,0,personal work
380,17,male,b.tech,2nd year,phd,sunny,0.41,4.4,23,0,festival
383,18,male,diploma,1st year,post graduate,rainy,5.32,8.51,84,1,none
384,17,female,diploma,4th year,graduate,cold,1.35,9.75,36,1,none
385,17,male,bca,4th year,high school,sunny,2.59,9.58,16,1,none
386,17,male,b.tech,2nd year,phd,hot,1.86,5.8,12,0,travel
387,23,female,bca,4th year,post graduate,cloudy,5.9,6.49,26,0,sick
389,18,male,bba,1st year,no formal,sunny,3.49,8.19,86,1,none
390,22,female,b.sc,4th year,high school,cold,0.4,5.22,74,0,travel
392,19,female,bca,1st year,post graduate,rainy,2.24,4.72,65,1,none
393,21,male,ba,3rd year,no formal,cloudy,3.81,5.53,89,0,project work
394,22,female,b.tech,1st year,high school,hot,0.46,8.28,89,0,no reason
397,18,female,bba,2nd year,no formal,sunny,5.68,4.69,23,1,none
398,19,male,pharmacy,1st year,post graduate,sunny,0.82,5.47,56,1,none
401,23,female,b.com,4th year,no formal,rainy,2.88,9.86,28,0,no reason
404,20,male,b.tech,3rd year,high school,sunny,1.22,7.43,76,0,sick
405,21,female,pharmacy,4th year,no formal,cloudy,3.15,9.93,25,0,festival
406,20,female,b.tech,4th year,high school,hot,5.17,8.97,14,0,personal work
407,18,female,nursing,1st year,graduate,cloudy,3.14,6.4,18,1,none
408,24,female,bca,1st year,no formal,cloudy,1.8,5.72,85,1,none
410,18,male,pharmacy,2nd year,post graduate,cloudy,0.86,4.2,13,0,travel
411,18,female,nursing,3rd year,high school,cold,2.88,5.5,39,0,no reason
412,19,male,b.sc,4th year,no formal,cloudy,3.18,5.43,79,1,none
413,18,female,pharmacy,3rd year,post graduate,hot,1.25,7.69,27,0,personal work
414,17,female,b.sc,4th year,no formal,cold,2.13,8.56,46,1,none
415,22,male,bca,2nd year,graduate,cold,1.7,8.47,79,0,no reason
417,17,male,b.com,3rd year,high school,cloudy,0.29,5.12,79,0,sick
418,19,male,bca,2nd year,post graduate,cold,4.56,9.04,70,1,none
419,21,female,bca,3rd year,high school,sunny,1.27,5.67,68,0,none
421,22,male,pharmacy,3rd year,high school,cloudy,4.15,7.18,8,1,none
422,23,female,ba,2nd year,no formal,cloudy,5.17,4.58,55,1,none
423,21,female,diploma,2nd year,post graduate,hot,0.15,5.33,18,1,none
425,18,male,b.tech,3rd year,high school,cold,2.21,5.24,71,1,none
426,23,male,diploma,1st year,high school,cloudy,3.0,5.45,34,1,none
427,23,female,pharmacy,3rd year,phd,cloudy,5.82,4.82,84,0,festival
428,17,male,b.sc,3rd year,graduate,rainy,3.29,7.48,40,0,personal work
430,17,male,b.tech,4th year,phd,hot,5.18,9.18,49,1,none
431,22,female,ba,3rd year,graduate,hot,3.21,7.95,12,0,personal work
432,23,male,nursing,1st year,high school,cloudy,1.53,4.68,30,0,festival
434,20,female,diploma,1st year,graduate,cold,2.92,8.55,51,1,none
435,17,male,diploma,1st year,high school,rainy,1.82,4.06,32,0,personal work
436,21,male,b.com,4th year,phd,cold,1.5,7.01,66,1,none
437,24,male,nursing,1st year,post graduate,sunny,2.52,9.74,46,1,none
438,17,male,bca,1st year,graduate,hot,1.79,8.29,36,0,festival
440,24,female,bca,2nd year,post graduate,cold,5.52,8.17,72,1,none
442,18,male,bba,2nd year,high school,cloudy,1.14,4.36,70,1,none
444,21,female,nursing,1st year,phd,rainy,4.09,7.55,12,1,none
445,22,female,ba,4th year,phd,cold,5.22,6.62,30,1,none
450,24,female,diploma,3rd year,high school,hot,4.92,7.45,14,0,personal work
454,21,female,bba,2nd year,no formal,hot,4.32,4.49,66,1,none
455,21,male,nursing,3rd year,phd,sunny,3.53,5.73,79,0,no reason
456,18,female,b.sc,2nd year,no formal,hot,0.72,7.94,74,0,no reason
457,22,male,b.com,2nd year,graduate,cloudy,5.58,5.42,67,1,none
458,23,male,b.sc,4th year,graduate,cloudy,5.9,7.74,58,1,none
459,17,female,ba,2nd year,post graduate,sunny,5.35,6.51,66,0,project work
460,22,female,nursing,3rd year,phd,cloudy,5.5,6.99,29,1,none
461,18,female,b.sc,4th year,graduate,sunny,5.19,4.75,54,1,none
464,17,female,diploma,2nd year,phd,sunny,0.6,8.11,57,0,none
465,24,female,bca,1st year,phd,hot,0.55,6.64,53,0,personal work
467,21,male,bca,3rd year,high school,rainy,1.82,7.92,68,0,no reason
471,23,male,bca,1st year,phd,hot,3.52,9.1,38,1,none
472,20,female,pharmacy,3rd year,graduate,rainy,3.91,5.21,24,1,none
474,22,male,ba,1st year,graduate,rainy,2.89,4.15,6,1,none
475,23,male,pharmacy,4th year,phd,cloudy,2.89,7.48,23,1,none
476,23,female,bca,3rd year,post graduate,sunny,3.72,6.65,51,0,personal work
477,17,female,nursing,3rd year,post graduate,hot,3.19,8.18,86,0,personal work
479,17,female,bba,2nd year,high school,sunny,5.34,5.26,15,1,none
481,23,male,nursing,1st year,phd,rainy,3.69,6.32,42,0,travel
482,19,female,diploma,3rd year,graduate,sunny,2.86,7.21,13,1,none
483,23,male,b.sc,1st year,post graduate,rainy,2.85,6.49,9,0,no reason
484,20,male,bba,1st year,graduate,rainy,2.76,4.33,50,0,project work
485,18,male,b.tech,2nd year,no formal,sunny,3.84,4.31,18,1,none
487,21,female,bca,4th year,no formal,sunny,1.56,4.43,49,1,none
488,23,male,b.sc,4th year,no formal,rainy,4.07,8.47,41,1,none
489,21,male,diploma,4th year,high school,cold,3.82,4.9,44,0,none
490,24,female,diploma,3rd year,high school,cold,2.61,5.53,18,1,none
493,21,male,b.sc,2nd year,post graduate,cloudy,0.23,8.86,53,1,none
495,20,female,bba,3rd year,phd,cold,3.69,6.45,48,1,none
497,19,male,b.tech,2nd year,no formal,cloudy,4.31,6.61,29,1,none
498,24,female,bca,4th year,no formal,sunny,3.45,9.94,67,1,none
500,17,male,nursing,3rd year,graduate,hot,3.27,4.92,77,0,no reason
502,24,male,diploma,4th year,no formal,rainy,4.41,4.64,84,1,none
507,18,male,b.sc,3rd year,phd,hot,1.25,5.24,40,1,none
508,19,female,bca,4th year,graduate,cold,1.1,7.14,89,0,festival
510,24,male,ba,2nd year,no formal,cold,3.82,9.06,31,1,none
511,22,male,b.sc,4th year,post graduate,sunny,5.1,7.17,69,1,none
512,23,male,bca,4th year,high school,sunny,3.32,5.73,20,0,personal work
514,24,male,bba,4th year,graduate,cloudy,3.62,6.79,58,1,none
515,17,female,bba,1st year,phd,rainy,5.12,4.1,24,1,none
516,24,female,bba,3rd year,post graduate,cloudy,3.76,7.9,68,1,none
517,17,female,b.sc,3rd year,post graduate,sunny,5.27,9.13,29,1,none
520,19,female,b.tech,4th year,no formal,hot,0.64,7.58,50,0,sick
522,18,male,b.sc,3rd year,post graduate,cold,2.16,6.08,74,1,none
524,19,male,b.com,3rd year,no formal,cold,4.79,7.65,13,1,none
525,19,male,b.com,4th year,post graduate,hot,5.04,4.93,14,0,none
526,24,male,b.com,4th year,post graduate,hot,2.1,6.91,84,0,none
527,18,male,nursing,1st year,post graduate,sunny,3.74,7.38,45,0,sick
529,24,male,diploma,3rd year,phd,cloudy,5.01,9.39,52,0,personal work
531,18,female,pharmacy,1st year,high school,cold,1.11,9.59,7,0,project work
532,18,male,nursing,2nd year,graduate,rainy,2.21,9.14,60,1,none
533,19,female,b.tech,2nd year,phd,hot,0.4,5.54,13,1,none
534,21,male,ba,1st year,phd,sunny,2.57,8.01,33,0,project work
535,18,male,diploma,4th year,no formal,hot,3.42,9.58,79,1,none
536,20,female,b.tech,1st year,phd,sunny,4.86,9.84,54,1,none
538,21,female,bca,3rd year,phd,sunny,0.71,4.71,35,0,sick
539,17,male,ba,3rd year,phd,cold,2.08,6.86,89,0,travel
542,18,male,bba,1st year,no formal,sunny,4.62,7.44,19,1,none
545,17,female,b.tech,2nd year,post graduate,hot,1.78,7.87,71,1,none
546,20,male,b.com,3rd year,no formal,hot,5.81,6.12,60,1,none
547,21,female,b.sc,3rd year,phd,cloudy,2.35,6.87,25,1,none
548,21,female,b.com,1st year,high school,cold,0.05,4.68,60,0,none
549,22,male,nursing,1st year,no formal,hot,2.0,8.07,44,0,festival
550,23,male,b.sc,4th year,high school,cloudy,2.76,9.43,15,0,personal work
551,20,male,b.sc,3rd year,phd,cloudy,5.85,6.71,44,1,none
552,23,male,b.sc,4th year,graduate,rainy,3.62,6.42,68,1,none
554,24,male,b.sc,3rd year,high school,sunny,0.05,5.62,53,1,none
555,21,female,b.sc,2nd year,post graduate,cloudy,2.43,9.49,38,1,none
556,22,female,bca,1st year,no formal,cold,5.91,9.71,24,1,none
557,24,male,b.sc,3rd year,graduate,sunny,3.31,8.69,70,1,none
560,21,female,b.tech,4th year,post graduate,rainy,1.17,6.79,76,0,personal work
562,20,male,b.tech,3rd year,post graduate,cold,2.59,7.82,19,1,none
